rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
23	Respiratory Syncytial Virus Infections	C0035235	6	299	2.86868306887e-11	1.8370607028753993e-05	IFNGR1,JAK1,IFNGR2,STAT1,IFNG,JAK2
24	 {HIV-1 viremia, susceptibility to}, 609423 (3)	C0042749	6	71	3.83441056684e-11	1.9169329073482428e-05	IFNGR1,JAK1,IFNGR2,STAT1,IFNG,JAK2
25	Bronchiolitis, Viral	C0006274	5	211	4.09341449625e-11	1.9968051118210863e-05	JAK1,IFNGR2,STAT1,IFNG,JAK2
31	Immediate hypersensitivity	C0020523	4	117	8.35878033456e-11	2.4760383386581468e-05	IFNGR1,IFNGR2,STAT1,IFNG
32	Hepatitis B, Chronic	C0524909	6	272	8.3925644212e-11	2.5559105431309903e-05	IFNGR1,JAK1,IFNGR2,STAT1,IFNG,JAK2
34	Mycobacterium Infections	C0026918	4	103	9.59928803113e-11	2.7156549520766773e-05	IFNGR1,IFNGR2,STAT1,IFNG
35	Pathologic Neovascularization	C0027686	4	74	1.10257691865e-10	2.795527156549521e-05	IFNGR1,IFNGR2,IFNG,JAK2
36	Liver Cirrhosis, Biliary	C0023890	6	919	1.66431091131e-10	2.875399361022364e-05	IFNGR1,JAK1,IFNGR2,STAT1,IFNG,JAK2
37	Hepatitis C, Chronic	C0524910	5	455	2.49698262067e-10	2.9552715654952075e-05	IFNGR1,JAK1,IFNGR2,STAT1,IFNG
39	Subacute Sclerosing Panencephalitis	C0038522	3	44	3.25553473068e-10	3.115015974440894e-05	IFNGR1,IFNGR2,IFNG
40	Verotoxigenic Escherichia coli gastrointestinal tract infection	C0009450	6	1111	3.40449668457e-10	3.194888178913738e-05	IFNGR1,JAK1,IFNGR2,STAT1,IFNG,JAK2
42	Lymphocytic Choriomeningitis	C0024266	3	58	8.64143312462e-10	3.354632587859425e-05	IFNGR1,STAT1,IFNG
43	Immunodeficiency due to defect in CD3-gamma	C0021051	5	571	8.87412254791e-10	3.434504792332268e-05	IFNGR1,IFNGR2,STAT1,IFNG,JAK2
44	Germinal Center B-Cell-Like Diffuse Large B-Cell Lymphoma	C0079744	5	568	9.00372443269e-10	3.5143769968051115e-05	IFNGR1,IFNGR2,STAT1,IFNG,JAK2
45	Esophageal carcinoma	C0152018	5	585	1.02105235378e-09	3.5942492012779554e-05	IFNGR1,JAK1,STAT1,IFNG,JAK2
46	FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)	C3469521	4	223	1.04270880819e-09	3.6741214057507985e-05	JAK1,STAT1,IFNG,JAK2
