rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
9	Hyperbilirubinemia	C0020433	9	99	9.60975743425e-12	1.2569832402234637e-05	UGT1A9,UGT1A8,UGT1A10,UGT1A6,UGT1A7,UGT1A,SLCO1B1,UGT1A3,UGT1A1
11	Hepatitis D Infection	C0011226	8	55	6.35059782539e-11	1.536312849162011e-05	UGT1A9,UGT1A8,UGT1A10,UGT1A6,UGT1A7,UGT1A,UGT1A3,UGT1A1
12	Cholelithiasis	C0008350	9	171	7.82212072892e-10	1.675977653631285e-05	UGT1A9,UGT1A8,UGT1A10,UGT1A6,UGT1A7,UGT1A,SLCO1B1,UGT1A3,UGT1A1
14	Drug Allergy	C0013182	6	79	1.67722625788e-08	1.9553072625698326e-05	UGT1A9,UGT1A8,CYP2C8,UGT1A7,SLCO1B1,UGT1A1
16	Febrile Neutropenia	C0746883	4	27	4.54100380631e-08	2.23463687150838e-05	UGT1A6,UGT1A7,UGT1A,UGT1A1
19	Hearing Loss, Partial	C0018772	7	150	8.36989927366e-08	2.653631284916201e-05	UGT1A9,UGT1A8,UGT1A10,UGT1A6,UGT1A7,UGT1A3,UGT1A1
22	Mammographic breast density	C1268717	5	70	2.2615554629e-07	3.072625698324022e-05	UGT1A,SLCO1B1,CYP1A2,UGT1A3,UGT1A1
24	Anemia, Sickle Cell	C0002895	8	271	7.08726158205e-07	3.35195530726257e-05	UGT1A9,UGT1A8,UGT1A10,UGT1A6,UGT1A7,UGT1A,UGT1A3,UGT1A1
25	Leukopenia	C0023530	8	301	1.68913087384e-06	3.491620111731843e-05	UGT1A9,UGT1A8,UGT1A6,CYP2C8,UGT1A7,UGT1A,MPL,UGT1A1
26	Deafness, autosomal recessive 44	C0011053	7	257	4.88758994566e-06	3.6312849162011175e-05	UGT1A9,UGT1A8,UGT1A10,UGT1A6,UGT1A7,UGT1A3,UGT1A1
27	Abdominal pain	C0000737	6	187	5.93549762207e-06	3.770949720670391e-05	UGT1A6,UGT1A7,UGT1A,SLCO1B1,MPL,UGT1A1
28	Deficiency of glucose-6-phosphate dehydrogenase	C2939465	3	36	9.17148998736e-06	3.910614525139665e-05	UGT1A,SLCO1B1,UGT1A1
34	Influenza	C0021400	9	497	1.46128090015e-05	4.748603351955307e-05	UGT1A9,UGT1A8,UGT1A10,UGT1A6,UGT1A7,UGT1A,MPL,UGT1A3,UGT1A1
35	Cholecystolithiasis	C0947622	4	86	1.64984843662e-05	4.888268156424581e-05	UGT1A6,UGT1A,SLCO1B1,UGT1A1
42	Neutropenia	C0027947	6	255	4.38486568473e-05	5.8659217877094976e-05	UGT1A9,CYP2C8,UGT1A7,UGT1A,SLCO1B1,UGT1A1
