rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
1	Stomach cancer	C0699791	3	2109	0.0	1.0570824524312898e-06	MMP12,MMP2,MMP1
2	Stomach Neoplasms	C0038356	3	916	0.0	2.1141649048625796e-06	MMP12,MMP2,MMP1
3	Coronary heart disease 7	C0010054	3	754	0.0	3.1712473572938687e-06	MMP12,MMP2,MMP1
4	Fibrosis	C0016059	3	191	0.0	4.228329809725159e-06	MMP12,MMP2,MMP1
6	Precancerous Conditions	C0032927	3	455	0.0	6.3424947145877375e-06	MMP12,MMP2,MMP1
7	Coronary Artery Disease	C1956346	3	1366	0.0	7.399577167019027e-06	MMP12,MMP2,MMP1
8	Premature Birth	C0151526	3	376	0.0	8.456659619450318e-06	MMP12,MMP2,MMP1
9	 Adenocarcinoma, ovarian, somatic, 167000 (3)	C0001418	3	1700	0.0	9.513742071881608e-06	MMP12,MMP2,MMP1
10	Squamous cell carcinoma	C0007137	3	1855	0.0	1.0570824524312897e-05	MMP12,MMP2,MMP1
11	Hepatocellular carcinoma	C2239176	3	3108	0.0	1.1627906976744185e-05	MMP12,MMP2,MMP1
12	Cancer of mouth	C0153381	3	420	0.0	1.2684989429175475e-05	MMP12,MMP2,MMP1
14	Liver Cirrhosis, Biliary	C0023890	3	919	0.0	1.4799154334038054e-05	MMP12,MMP2,MMP1
15	Dermatosis NOS	C0037274	3	483	0.0	1.5856236786469344e-05	MMP12,MMP2,MMP1
16	Scleroderma	C0036421	3	573	0.0	1.6913319238900637e-05	MMP12,MMP2,MMP1
17	Metabolic Syndrome X	C0524620	3	638	0.0	1.7970401691331923e-05	MMP12,MMP2,MMP1
18	Prostatic Neoplasms	C0033578	3	1606	0.0	1.9027484143763216e-05	MMP12,MMP2,MMP1
19	Osteoarthritis	C0029408	3	942	0.0	2.0084566596194502e-05	MMP12,MMP2,MMP1
20	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 4	C0034069	3	392	0.0	2.1141649048625795e-05	MMP12,MMP2,MMP1
21	Malignant tumor of urinary bladder	C0005684	3	1371	0.0	2.2198731501057084e-05	MMP12,MMP2,MMP1
22	Verotoxigenic Escherichia coli gastrointestinal tract infection	C0009450	3	1111	0.0	2.325581395348837e-05	MMP12,MMP2,MMP1
23	Primary open angle glaucoma juvenile onset 1	C0339573	3	172	0.0	2.4312896405919664e-05	MMP12,MMP2,MMP1
24	Colorectal Neoplasms	C0009404	3	1164	0.0	2.536997885835095e-05	MMP12,MMP2,MMP1
25	Fetal Membranes, Premature Rupture	C0015943	3	194	0.0	2.6427061310782243e-05	MMP12,MMP2,MMP1
26	Adenocarcinoma Of Esophagus	C0279628	3	300	0.0	2.748414376321353e-05	MMP12,MMP2,MMP1
28	Chronic obstructive pulmonary disease	C0024117	3	865	0.0	2.9598308668076108e-05	MMP12,MMP2,MMP1
29	Colorectal cancer	C1527249	3	2681	0.0	3.06553911205074e-05	MMP12,MMP2,MMP1
30	Lip and Oral Cavity Carcinoma	C0220641	3	419	0.0	3.171247357293869e-05	MMP12,MMP2,MMP1
31	Esophageal Neoplasms	C0014859	3	686	0.0	3.2769556025369984e-05	MMP12,MMP2,MMP1
32	{Gastric cancer risk after H. pylori infection}, 137215 (3)	C0024623	3	2073	0.0	3.382663847780127e-05	MMP12,MMP2,MMP1
33	Colorectal cancer 1	C0009402	3	2543	0.0	3.4883720930232556e-05	MMP12,MMP2,MMP1
34	Stroke	C0038454	3	1229	0.0	3.5940803382663846e-05	MMP12,MMP2,MMP1
35	Pulmonary Emphysema	C0034067	3	211	0.0	3.699788583509514e-05	MMP12,MMP2,MMP1
36	Breast-ovarian cancer, familial 1	C0006142	3	4543	0.0	3.805496828752643e-05	MMP12,MMP2,MMP1
37	Kidney Failure, Chronic	C0022661	3	616	0.0	3.9112050739957714e-05	MMP12,MMP2,MMP1
38	Myocardial Infarction	C0027051	3	1019	0.0	4.0169133192389004e-05	MMP12,MMP2,MMP1
39	Secondary malignant neoplasm of lung	C0153676	3	614	0.0	4.12262156448203e-05	MMP12,MMP2,MMP1
40	Preeclampsia/eclampsia 1	C0032914	3	371	0.0	4.228329809725159e-05	MMP12,MMP2,MMP1
41	Malignant neoplasm of pancreas	C0346647	3	1625	0.0	4.334038054968287e-05	MMP12,MMP2,MMP1
42	Osteosarcoma	C0585442	3	936	0.0	4.439746300211417e-05	MMP12,MMP2,MMP1
43	Hypertension	C0020538	3	1647	0.0	4.545454545454546e-05	MMP12,MMP2,MMP1
44	Carcinogenesis	C0596263	3	3723	0.0	4.651162790697674e-05	MMP12,MMP2,MMP1
45	Heart Failure	C0018801	3	803	0.0	4.756871035940803e-05	MMP12,MMP2,MMP1
46	Breast carcinoma	C0678222	3	4281	0.0	4.862579281183933e-05	MMP12,MMP2,MMP1
47	Cardiovascular Diseases	C0007222	3	1029	0.0	4.968287526427062e-05	MMP12,MMP2,MMP1
48	Transient ischemic attack	C0007787	3	205	0.0	5.07399577167019e-05	MMP12,MMP2,MMP1
49	Secondary hypertriglyceridemia	C0027627	3	3444	0.0	5.179704016913319e-05	MMP12,MMP2,MMP1
51	Malignant neoplasm of lung	C0242379	3	2460	0.0	5.3911205073995775e-05	MMP12,MMP2,MMP1
52	Alzheimer Disease	C0002395	3	1699	0.0	5.496828752642706e-05	MMP12,MMP2,MMP1
53	Chondrosarcoma	C0008479	3	222	0.0	5.6025369978858354e-05	MMP12,MMP2,MMP1
54	Endometriosis	C0014175	3	727	0.0	5.7082452431289644e-05	MMP12,MMP2,MMP1
55	{Aneurysm, familial abdominal 3} (2)	C0002940	3	151	0.0	5.8139534883720933e-05	MMP12,MMP2,MMP1
56	Lung Neoplasms	C0024121	3	1155	0.0	5.9196617336152216e-05	MMP12,MMP2,MMP1
57	Pancreatic Carcinoma	C0235974	3	1690	0.0	6.025369978858351e-05	MMP12,MMP2,MMP1
58	Glioma	C0017638	3	1997	0.0	6.13107822410148e-05	MMP12,MMP2,MMP1
